,prompt,orig_completion,completion
16,Number of Engaged Sessions per user in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions_per_user,qf:-,qb:-}"
17,Number of Engaged Sessions per user in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions_per_user,qf:-,qb:-}"
18,How many Engaged Sessions per user we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_sessions_per_user,qf:-,qb:-}"
19,How many Engaged Sessions per user we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions_per_user,qf:-,qb:-}"
20,How many Engaged Sessions per user we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions_per_user,qf:-,qb:-}"
21,Avg session duration,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_session_duration,qf:-,qb:-}"
22,Number of Avg session duration in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_session_duration,qf:-,qb:-}"
23,Number of Avg session duration in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_session_duration,qf:-,qb:-}"
24,Number of Avg session duration in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_session_duration,qf:-,qb:-}"
25,How many Avg session duration we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_session_duration,qf:-,qb:-}"
26,How many Avg session duration we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_session_duration,qf:-,qb:-}"
27,How many Avg session duration we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_session_duration,qf:-,qb:-}"
28,Engaged Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engaged_users,qf:-,qb:-}"
29,Number of Engaged Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_users,qf:-,qb:-}"
30,Number of Engaged Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_users,qf:-,qb:-}"
31,Number of Engaged Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_users,qf:-,qb:-}"
32,How many Engaged Users we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_users,qf:-,qb:-}"
33,How many Engaged Users we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_users,qf:-,qb:-}"
34,How many Engaged Users we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_users,qf:-,qb:-}"
35,Total time on site,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:total_time_on_site,qf:-,qb:-}"
36,Number of Total time on site in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_time_on_site,qf:-,qb:-}"
37,Number of Total time on site in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_time_on_site,qf:-,qb:-}"
38,Number of Total time on site in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_time_on_site,qf:-,qb:-}"
39,How many Total time on site we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_time_on_site,qf:-,qb:-}"
40,How many Total time on site we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_time_on_site,qf:-,qb:-}"
41,How many Total time on site we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_time_on_site,qf:-,qb:-}"
42,Avg page views per session,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_page_views_per_session,qf:-,qb:-}"
43,Number of Avg page views per session in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_page_views_per_session,qf:-,qb:-}"
44,Number of Avg page views per session in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_page_views_per_session,qf:-,qb:-}"
45,Number of Avg page views per session in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_page_views_per_session,qf:-,qb:-}"
46,How many Avg page views per session we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_page_views_per_session,qf:-,qb:-}"
47,How many Avg page views per session we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_page_views_per_session,qf:-,qb:-}"
48,How many Avg page views per session we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_page_views_per_session,qf:-,qb:-}"
49,Avg initial page load time,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_initial_page_load_time,qf:-,qb:-}"
50,Number of Avg initial page load time in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_initial_page_load_time,qf:-,qb:-}"
51,Number of Avg initial page load time in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_initial_page_load_time,qf:-,qb:-}"
52,Number of Avg initial page load time in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_initial_page_load_time,qf:-,qb:-}"
53,How many Avg initial page load time we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_initial_page_load_time,qf:-,qb:-}"
54,How many Avg initial page load time we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_initial_page_load_time,qf:-,qb:-}"
55,How many Avg initial page load time we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_initial_page_load_time,qf:-,qb:-}"
56,Engaged Sessions,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engaged_sessions,qf:-,qb:-}"
57,Number of Engaged Sessions in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_sessions,qf:-,qb:-}"
58,Number of Engaged Sessions in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions,qf:-,qb:-}"
59,Number of Engaged Sessions in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions,qf:-,qb:-}"
60,How many Engaged Sessions we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_sessions,qf:-,qb:-}"
61,How many Engaged Sessions we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions,qf:-,qb:-}"
62,How many Engaged Sessions we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions,qf:-,qb:-}"
63,Engagement rate,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:-}"
64,Number of Engagement rate in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:-}"
65,Number of Engagement rate in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:-}"
66,Number of Engagement rate in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:-}"
67,How many Engagement rate we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:-}"
68,How many Engagement rate we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:-}"
69,How many Engagement rate we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:-}"
70,Total Sessions,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:total_sessions,qf:-,qb:-}"
71,Number of Total Sessions in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_sessions,qf:-,qb:-}"
72,Number of Total Sessions in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_sessions,qf:-,qb:-}"
73,Number of Total Sessions in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_sessions,qf:-,qb:-}"
74,How many Total Sessions we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_sessions,qf:-,qb:-}"
75,How many Total Sessions we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_sessions,qf:-,qb:-}"
76,How many Total Sessions we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_sessions,qf:-,qb:-}"
77,Unique Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:unique_users,qf:-,qb:-}"
78,Number of Unique Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:unique_users,qf:-,qb:-}"
79,Number of Unique Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:unique_users,qf:-,qb:-}"
80,Number of Unique Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:unique_users,qf:-,qb:-}"
81,How many Unique Users we had this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:unique_users,qf:-,qb:-}"
82,How many Unique Users we had today,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:unique_users,qf:-,qb:-}"
83,How many Unique Users we had yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:unique_users,qf:-,qb:-}"
84,Session Per User,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:sessions_per_user,qf:-,qb:-}"
85,Number of Session Per User in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:sessions_per_user,qf:-,qb:-}"
86,Number of Session Per User in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:sessions_per_user,qf:-,qb:-}"
87,Number of Session Per User in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:sessions_per_user,qf:-,qb:-}"
