,prompt,orig_completion,completion
15,Number of Avg session duration in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_session_duration,qf:-,qb:-}"
16,Engaged Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engaged_users,qf:-,qb:-}"
17,Number of Engaged Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_users,qf:-,qb:-}"
18,Number of Engaged Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_users,qf:-,qb:-}"
19,Number of Engaged Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_users,qf:-,qb:-}"
20,Total time on site,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:total_time_on_site,qf:-,qb:-}"
21,Number of Total time on site in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_time_on_site,qf:-,qb:-}"
22,Number of Total time on site in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_time_on_site,qf:-,qb:-}"
23,Number of Total time on site in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_time_on_site"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_time_on_site,qf:-,qb:-}"
24,Avg page views per session,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_page_views_per_session,qf:-,qb:-}"
25,Number of Avg page views per session in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_page_views_per_session,qf:-,qb:-}"
26,Number of Avg page views per session in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_page_views_per_session,qf:-,qb:-}"
27,Number of Avg page views per session in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_page_views_per_session"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_page_views_per_session,qf:-,qb:-}"
28,Avg initial page load time,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_initial_page_load_time,qf:-,qb:-}"
29,Number of Avg initial page load time in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_initial_page_load_time,qf:-,qb:-}"
30,Number of Avg initial page load time in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_initial_page_load_time,qf:-,qb:-}"
31,Number of Avg initial page load time in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_initial_page_load_time"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:average_initial_page_load_time,qf:-,qb:-}"
32,Engaged Sessions,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engaged_sessions,qf:-,qb:-}"
33,Number of Engaged Sessions in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_sessions,qf:-,qb:-}"
34,Number of Engaged Sessions in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions,qf:-,qb:-}"
35,Number of Engaged Sessions in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions,qf:-,qb:-}"
36,Engagement rate,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engagement_rate,qf:-,qb:-}"
37,Number of Engagement rate in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engagement_rate,qf:-,qb:-}"
38,Number of Engagement rate in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engagement_rate,qf:-,qb:-}"
39,Number of Engagement rate in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engagement_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engagement_rate,qf:-,qb:-}"
40,Total Sessions,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:total_sessions,qf:-,qb:-}"
41,Number of Total Sessions in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:total_sessions,qf:-,qb:-}"
42,Number of Total Sessions in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:total_sessions,qf:-,qb:-}"
43,Number of Total Sessions in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""total_sessions"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:total_sessions,qf:-,qb:-}"
44,Unique Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:unique_users,qf:-,qb:-}"
45,Number of Unique Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:unique_users,qf:-,qb:-}"
46,Number of Unique Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:unique_users,qf:-,qb:-}"
47,Number of Unique Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""unique_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:unique_users,qf:-,qb:-}"
48,Session Per User,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:sessions_per_user,qf:-,qb:-}"
49,Number of Session Per User in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:sessions_per_user,qf:-,qb:-}"
50,Number of Session Per User in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:sessions_per_user,qf:-,qb:-}"
51,Number of Session Per User in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:sessions_per_user,qf:-,qb:-}"
52,Bounce rate,"{""query_type"": ""kpi"", ""query_entity_1"": ""bounce_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:bounce_rate,qf:-,qb:-}"
53,Number of Bounce rate in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""bounce_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:bounce_rate,qf:-,qb:-}"
54,Number of Bounce rate in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""bounce_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:bounce_rate,qf:-,qb:-}"
55,Number of Bounce rate in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""bounce_rate"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:bounce_rate,qf:-,qb:-}"
56,New Users by Source,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:source}"
57,What's the breakdown of New Users by Source in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:source}"
58,What's the breakdown of New Users by Source in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:source}"
59,What's the breakdown of New Users by Source in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:source}"
60,New Users by Medium,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:medium}"
61,What's the breakdown of New Users by Medium in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:medium}"
62,What's the breakdown of New Users by Medium in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:medium}"
63,What's the breakdown of New Users by Medium in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:medium}"
64,New Users by Campaign,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:campaign}"
65,What's the breakdown of New Users by Campaign in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:campaign}"
66,What's the breakdown of New Users by Campaign in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:campaign}"
67,What's the breakdown of New Users by Campaign in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:campaign}"
68,New Users by Adgroup,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:adgroup}"
69,What's the breakdown of New Users by Adgroup in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:adgroup}"
70,What's the breakdown of New Users by Adgroup in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:adgroup}"
71,What's the breakdown of New Users by Adgroup in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:adgroup}"
72,New Users by Keyword,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:keyword}"
73,What's the breakdown of New Users by Keyword in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:keyword}"
74,What's the breakdown of New Users by Keyword in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:keyword}"
75,What's the breakdown of New Users by Keyword in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:keyword}"
76,New Users by Content,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:content}"
77,What's the breakdown of New Users by Content in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:content}"
78,What's the breakdown of New Users by Content in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:content}"
79,What's the breakdown of New Users by Content in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:content}"
80,New Users by Channel,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:channel}"
81,What's the breakdown of New Users by Channel in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:channel}"
82,What's the breakdown of New Users by Channel in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:channel}"
83,What's the breakdown of New Users by Channel in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:channel}"
84,New Users by Referrer URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:initial_referrer_url}"
85,What's the breakdown of New Users by Referrer URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:initial_referrer_url}"
86,What's the breakdown of New Users by Referrer URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:initial_referrer_url}"
87,What's the breakdown of New Users by Referrer URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:initial_referrer_url}"
